name,positions,rating,nationality,club,league
A. Almada,LM,61,Argentina,Patronato,Liga Profesional
A. Almendra,CM,60,Argentina,Boca Juniors,Liga Profesional
A. Almici,RB; LB,62,Italy,Latina,Serie B
A. Almohammed,CDM,50,Saudi Arabia,Al Faisaly,Pro League
A. Almutair,ST,47,Saudi Arabia,Al Qadisiyah,Pro League
A. Alonso,ST,61,Uruguay,Guaireña FC,Primera División
A. Alphonse,ST; LW,63,France,Stade Brestois 29,Ligue 2
A. Alsameeri,CB,48,Saudi Arabia,Al Fateh,Pro League
A. Alsanati,RW,56,Sweden,Hammarby,Allsvenskan
A. Alsdairy,GK,64,Saudi Arabia,Al Hilal,Pro League
A. Alshahrani,CM,52,Saudi Arabia,Al Qadisiyah,Pro League
A. Altuna,CDM; CM,62,Argentina,San Martin de Tucumán,Liga Profesional
A. Alvarado,LM; LW,67,Ecuador,Aucas,Liga Pro
A. Alvarez,LM; RM; LW; RW,69,El Salvador,Chicago Fire Football Club,Major League Soccer
A. Alégué,RM; CF,57,Cameroon,FC Nantes,Ligue 1
A. Amade,RB,58,Germany,TSG Hoffenheim,Bundesliga
A. Amadi-Holloway,ST; CB,51,Wales,Wycombe Wanderers,League Two
A. Amaya,ST,52,Colombia,Atlético Huila,Liga BetPlay
A. Amelchenko,GK,65,Belarus,FC Rostov,Premier League
A. Amenda,CB,56,Switzerland,Young Boys,Super League
A. Ammerer,CM; CDM,60,Austria,Ried,Bundesliga
A. Ammitzbøl,ST,55,Denmark,Aarhus GF,Superliga
A. Ammitzbøll,ST,55,Denmark,AGF,Superliga
A. Amoo,RW,58,Nigeria,Hammarby,Allsvenskan
A. Ampuero,LM; CM,60,Peru,Parma,Serie A
A. Anagnostopoulos,GK,56,Greece,Panathinaikos FC,Super League
A. Anani,ST,64,Côte d'Ivoire,Grenoble Foot 38,Ligue 2
A. Anasse,CB,58,Côte d'Ivoire,Al Faisaly,Pro League
A. Anastasio,LM,60,Italy,Carpi,Serie B
A. Andaveris,ST,60,Bolivia,,
A. Andersen,RB; CB,66,Denmark,Vendsyssel,Superliga
A. Anderson,CB,53,Australia,Melbourne Victory,A-League
A. Andersson,CM,53,Sweden,BK Häcken,Allsvenskan
A. Ando,CDM,56,Japan,Matsumoto Yamaga FC,J-League
A. Andrade,CAM; RW; ST; CM,67,Colombia,Jaguares de Chiapas,Liga MX
A. Andreasson,CM,54,Sweden,IF Elfsborg,Allsvenskan
A. Andrejević,CB,65,Serbia,Gwangju,K League 1
A. Andresen,GK,52,Denmark,Silkeborg,Superliga
A. Andreu,CAM; CM; CF,62,France,Hamilton Academical FC,Premiership
A. Andrianarimanana,CM; CAM; CDM; RM,63,Madagascar,Kaizer Chiefs,Premier League
A. Androutsos,CAM; ST; CF,62,Greece,Olympiakos Piraeus,Super League
A. André Jr,GK,52,France,Bristol Rovers,League One
A. Andrés,CDM,56,Argentina,Estudiantes,Liga Profesional
A. Andrésson,CB,61,Iceland,Viking FK,Eliteserien
A. Angeli,CAM,63,Belgium,Avellino,Serie B
A. Angelin,LB,61,Sweden,Häcken,Allsvenskan
A. Angoula,CB,69,France,Évian Thonon Gaillard FC,Ligue 1
A. Angulo,CB,59,Colombia,Itagüí Leones FC,Liga BetPlay
A. Annan,CDM; CM; RB,69,Ghana,TSV 1860 München,2. Bundesliga
A. Anson,CB,46,England,Wigan Athletic,League One
A. Antilef,CM,60,Argentina,Arsenal de Sarandi,Liga Profesional
A. Antunes,CAM,52,Switzerland,Servette FC,Super League
A. Anwar,ST,46,Saudi Arabia,Al Batin,Pro League
A. Anyukov,RB,77,Russia,Zenit St. Petersburg,Premier League
A. Aosman,CAM; CM,67,Germany,SG Dynamo Dresden,2. Bundesliga
A. Aouchiche,CM; CDM; CAM,62,France,Paris Saint Germain,Ligue 1
A. Apostolopoulos,LB,60,Greece,Olympiacos CFP,Super League
A. Appiah,RW; ST,58,England,Nottingham Forest,Championship
A. Appindangoye,CB,61,Gabon,Boavista FC,Liga Portugal
A. Aqqash,LB; LM,67,Saudi Arabia,Al Nassr,Pro League
A. Aquilani,CM; CDM,79,Italy,Fiorentina,Serie A
A. Aquilanti,CB; RB,62,Italy,SS Virtus Lanciano,Serie B
A. Aralica,ST,59,Croatia,Hermannstadt,Liga 1
A. Arancibia,GK,62,Bolivia,,
A. Aranda,ST,62,Argentina,Club Atlético Aldosivi,Liga Profesional
A. Araque,ST,59,Venezuela,Estudiantes Mérida,Primera Division
A. Arario,ST,57,Argentina,Vélez Sarsfield,Liga Profesional
A. Aras,ST,65,Turkey,Demir Grup Sivasspor,Super Lig
A. Araujo,CAM; LW; ST,65,France,LOSC Lille,Ligue 1
A. Aravena,ST,64,Chile,Universidad Católica,Primera Division
A. Arboleda,CDM; CB,53,Colombia,Jaguares de Córdoba Fútbol Club,Liga BetPlay
A. Arce,ST,59,Mexico,Club Universidad Nacional,Liga MX
A. Arciga,GK,60,Mexico,Monarcas Morelia,Liga MX
A. Arda,GK,50,Turkey,İstanbulspor,Super Lig
A. Arellano,CDM,62,Mexico,Gallos Blancos de Querétaro,Liga MX
A. Aremeyaw,CB,53,Ghana,Philadelphia Union,Major League Soccer
A. Aremu,CM; CDM,59,Nigeria,IK Start,Eliteserien
A. Arena,CB; LB,57,United States,Houston Dynamo,Major League Soccer
A. Arenate,CM,56,France,Red Star FC,Ligue 2
A. Areola,GK,81,France,Paris Saint-Germain,Ligue 1
A. Arestidou,GK,57,England,Morecambe,League Two
A. Argacha,LB,59,Uruguay,Belgrano de Córdoba,Liga Profesional
A. Argachá,LB; LM,68,Uruguay,Fénix,Primera Division
A. Argyriou,RB; LB; CB; CDM,58,Greece,Zawisza Bydgoszcz,Ekstraklasa
A. Ariano,CB,63,Panama,Atlético Bucaramanga,Liga BetPlay
A. Arias,RM; LM,50,Colombia,Uniautónoma FC,Liga BetPlay
A. Arigoni,LB,55,Switzerland,Grasshopper,Super League
A. Arioli,ST,53,Italy,Cosenza,Serie B
A. Ariza,CM; RB,59,Colombia,Atlético Bucaramanga,Liga BetPlay
A. Arli,CAM,63,Turkey,Dijon FCO,Ligue 1
A. Armour,LB,52,United States,Charlotte,Major League Soccer
A. Armstrong,CF,62,England,Newcastle United,Premier League
A. Arnarson,RB,62,Iceland,Górnik Zabrze,Ekstraklasa
A. Arregui,CDM,60,Argentina,Club Atlético Temperley,Liga Profesional
A. Arreguín,LB,63,Mexico,Tigres U.A.N.L.,Liga MX
A. Arrighini,ST,59,Italy,Avellino,Serie B
A. Arrigoni,CDM; CM; RM,63,Italy,Lecce,Serie B
A. Arrondel,CB,60,France,Vitória de Guimarães,Liga Portugal
A. Arroyo,ST,64,Panama,Deportes Tolima,Liga BetPlay
A. Arshavin,LW; RW,75,Russia,Zenit St. Petersburg,Premier League
A. Arslan,RM,59,Germany,Hamburger SV,Bundesliga
A. Artean,CDM; CM,69,Romania,FC Viitorul Constanța,Liga 1
A. Artunduaga,CM,53,Colombia,Atlético Huila,Liga BetPlay
A. Arvidsson,CM,50,Sweden,Halmstads BK,Allsvenskan
A. Aréola,GK,72,France,SC Bastia,Ligue 1
A. Asad,CAM; RW; LW,69,Qatar,,
A. Asante,ST,60,Netherlands,Grimsby Town,League Two
A. Aschauer,ST; RW,60,Austria,SG Sonnenhof Großaspach,3. Liga
A. Aseri,CB; CDM,67,Saudi Arabia,Al Ittihad,Pro League
A. Ashe,ST,50,Republic of Ireland,Bohemian FC,Premier Division
A. Ashraf,LM; LW; CAM,66,Egypt,,
A. Asiri,CB; CDM,70,Saudi Arabia,Al Ittihad,Pro League
A. Askar,RM; LM,67,Norway,SK Brann,Eliteserien
A. Aslesen,CB,53,Norway,Sandefjord,Eliteserien
A. Assal,CAM; RM,50,Algeria,AFC Wimbledon,League One
A. Assana,CDM,60,France,AS Monaco,Ligue 1
A. Assiri,RM; LM; LW; RW,63,Saudi Arabia,Al Ittihad,Pro League
A. Astudillo,RB,53,Venezuela,Universidad Católica,Primera Division
A. Ataif,CM; CDM,60,Saudi Arabia,Al Orobah,Pro League
A. Ateef,CM; CDM,58,Saudi Arabia,Al Hilal,Pro League
A. Ateş,RM,55,Turkey,Gaziantep F.K.,Super Lig
A. Athanasakopoulos,CAM,61,Greece,Panathinaikos,Rest of World
A. Atif,CAM,53,Saudi Arabia,Al Faisaly,Pro League
A. Atiyah,CB,61,Iraq,Çaykur Rizespor,Super Lig
A. Atkinson,CAM; CM; CDM,45,England,Luton Town,League Two
A. Atouchi,CB,66,Morocco,Abha Club,Pro League
A. Atta,CDM,57,France,Metz,Ligue 2
A. Attiah,GK,54,Saudi Arabia,Al Feiha,Pro League
A. Attobrah,RM; LM; CAM,61,Ghana,KV Kortrijk,Jupiler Pro League
A. Atzori,CM,54,Italy,Cagliari,Serie A
A. Auassar,CM,63,Netherlands,Excelsior,Eredivisie
A. Avdijaj,ST,53,Switzerland,Grasshopper Club Zürich,Super League
A. Aventisian,LB,61,Greece,Go Ahead Eagles,Eredivisie
A. Avlonitis,CB; CDM,69,Greece,Olympiacos CFP,Super League
A. Awad,ST,56,Sweden,Dalkurd FF,Allsvenskan
A. Awaji,CM,48,Saudi Arabia,Al Faisaly,Pro League
A. Ayala,CDM,58,Argentina,Estudiantes,Liga Profesional
A. Aydin,CAM,56,Germany,Kaiserslautern,3. Liga
A. Aydın,CAM; CM; LM,56,Turkey,Giresunspor,Super Lig
A. Ayew,LM; CAM,78,Ghana,Olympique de Marseille,Ligue 1
A. Ayman Mansour,CB; LB,70,Egypt,,
A. Ayoub,GK,53,Tunisia,Virtus Entella Chiavari,Serie B
A. Azaouagh,RB; CM,54,Germany,FSV Frankfurt,2. Bundesliga
A. Azbague,LW,52,France,Valenciennes FC,Ligue 2
A. Azeez,ST; RW,53,England,AFC Wimbledon,League Two
A. Azhil,CDM,63,Germany,RKC Waalwijk,Eredivisie
A. Ba,CB,63,Mauritania,Racing Club de Lens,Ligue 1
A. Ba Loua,LM; LW,61,Côte d'Ivoire,LOSC Lille,Ligue 1
A. Ba Masoud,LB,57,Saudi Arabia,Al Fayha,Pro League
A. Ba Saeed,RW; CAM,59,Saudi Arabia,Al Ahli Jeddah,Pro League
A. Baba,LB; LM,68,Ghana,FC Augsburg,Bundesliga
A. Babacan,CAM; CM,61,Turkey,Galatasaray SK,Super Lig
A. Babos,ST,52,England,Derby County,Championship
A. Baby,LM; LB; CM,63,France,La Berrichonne de Châteauroux,Ligue 2
A. Bacci,GK,58,Italy,Ascoli,Serie B
A. Baclet,ST; LW,66,France,Cosenza,Serie B
A. Badan,LB,59,Italy,Oldham Athletic,League Two
A. Badji,ST,55,Senegal,Djurgårdens IF,Allsvenskan
A. Badolato,ST,50,Australia,Western Sydney Wanderers,A-League
A. Badri,ST; RM,60,France,Royal Excel Mouscron,Jupiler Pro League
A. Bagaev,CB,58,Russia,FC Ural Yekaterinburg,Premier League
A. Bagceci,RM,60,Germany,1. FC Heidenheim 1846,2. Bundesliga
A. Baggie,RM,59,Sierra Leone,Tranmere Rovers,League Two
A. Bah,LW; CF,48,Denmark,SønderjyskE,Superliga
A. Bahachille,CM; CDM; CB,61,Venezuela,Metropolitanos,Primera Division
A. Bahtijar,CM,52,Sweden,GIF Sundsvall,Allsvenskan
A. Bahusayn,CM; CAM,53,Saudi Arabia,Al Ittihad,Pro League
A. Bahçıvan,CM,59,Turkey,Adanaspor,Super Lig
A. Bai Kamara,CB; LB,57,Netherlands,N.E.C. Nijmegen,Eredivisie
A. Bailo,GK,62,Argentina,Club Atlético Colón,Liga Profesional
A. Bajic,RM; LM; CM,63,Austria,Ried,Bundesliga
A. Bajrovic,ST,61,Sweden,Sepsi OSK Sf. Gheorghe,Liga 1
A. Bak Holvad,ST,56,Denmark,Hobro,Superliga
A. Bakasetas,CAM; ST; RW,71,Greece,,
A. Bakayoko,ST,51,England,Walsall,League One
A. Baker,RB,53,Wales,Sheffield Wednesday,Championship
A. Bakhat,CM; CAM,51,Germany,Kaiserslautern,3. Liga
A. Bakir,RM; LM,57,Germany,Borussia Dortmund,Bundesliga
A. Bala,LM; LW; RM,60,Nigeria,SV Zulte Waregem,Jupiler Pro League
A. Balanta,LM; RM,64,England,Carlisle United,League Two
A. Balaruban,LB,53,Switzerland,Luzern,Super League
A. Balbo,CB; LB,61,Argentina,Unión Santa Fe,Liga Profesional
A. Balboa,ST,62,Uruguay,Club Atlético Sarmiento,Liga Profesional
A. Balbín,CB; CDM,64,Peru,,
A. Baldi,CDM,62,Argentina,Tigre,Liga Profesional
A. Baldursson,CM,59,Iceland,Bologna,Serie A
A. Baldwin,CB; RB,54,England,Cheltenham Town,League Two
A. Baldé,ST; CF; LW,63,France,Paris FC,Ligue 2
A. Balic,CAM,70,Croatia,Udinese Calcio,Serie A
A. Balicki,ST,54,Poland,Wisła Kraków,Ekstraklasa
A. Balijon,GK,63,France,US Orléans Loiret Football,Ligue 2
A. Balić,CAM,69,Croatia,Udinese Calcio,Serie A
A. Baluta,RM,65,Romania,,
A. Balzano,RB; RM,69,Italy,Cagliari,Serie A
A. Bamba,LB; CB,60,Côte d'Ivoire,FC Metz,Ligue 1
A. Banasiak,CAM; CM; LM,60,Poland,Zagłębie Sosnowiec,Ekstraklasa
A. Bancé,ST,70,Burkina Faso,FC Augsburg,Bundesliga
A. Bandini,RB,56,Italy,Brescia,Serie B
A. Bangoura,RM; LM,74,Guinea,Rayo Vallecano,La Liga 2
A. Bangura,CM; CDM,60,Sierra Leone,Coventry City,League One
A. Bani,LM,51,Romania,Dinamo Bucureşti,Liga 1
A. Bani Yaseen,CB,60,Jordan,Al Raed,Pro League
A. Bannink,CM,65,Netherlands,De Graafschap,Eredivisie
A. Bansal-McNulty,CAM,55,Northern Ireland,Crawley Town,League Two
A. Bansal-Mcnulty,CAM,52,England,Queens Park Rangers,Championship
A. Baptiste,RB; CB; LB,67,England,Blackburn Rovers,Championship
A. Barada,CM; RB,63,Japan,Kashiwa Reysol,J-League
A. Barakat,CM; LM,64,Egypt,Al Shabab,Pro League
A. Barbaro,LM,66,Argentina,San Lorenzo de Almagro,Liga Profesional
A. Barberis,CM,54,Italy,Varese,Serie B
A. Barboza,CB; RB,58,Argentina,Atlético de Rafaela,Liga Profesional
A. Barcellos,LB; CB,60,Uruguay,Wanderers,Primera Division
A. Barcham,LM; RM; CAM,65,England,Portsmouth,League Two
A. Barco,CDM; CM,64,Peru,Club Universitario de Deportes,Primera Division
A. Bardakcı,CB,62,Turkey,İttifak Holding Konyaspor,Super Lig
A. Baredia,CB; RB,75,Chile,CD Universidad de Concepción,Primera Division
A. Bareiro,RM,72,Paraguay,,
A. Barillà,LM; CM,67,Italy,Trapani,Serie B
A. Barison,CB,72,Italy,Pordenone,Serie B
A. Bark,ST,51,Sweden,Örebro,Allsvenskan
A. Barkarson,LB,60,Iceland,SønderjyskE,Superliga
A. Barkok,RM; RB; CM,60,Morocco,Eintracht Frankfurt,Bundesliga
A. Barlow,CM; LM; CAM,62,England,Tromsø IL,Eliteserien
A. Barman,CDM,68,United Arab Emirates,Al Ain FC,Rest of World
A. Barnawi,CB,63,Saudi Arabia,Al Shoulla,Pro League
A. Barnes,ST; LW; RW,69,Austria,Burnley,Premier League
A. Baroan,ST; LM,58,France,Chamois Niortais Football Club,Ligue 2
A. Baroja,GK,70,Venezuela,,
A. Barrada,CAM; RM; LM,74,Morocco,Olympique de Marseille,Ligue 1
A. Barrajas,GK,64,Venezuela,,
A. Barreca,LB,54,Italy,Cittadella,Serie B
A. Barrett,CB,60,England,AFC Wimbledon,League Two
A. Barrios,CB; RB; CDM,63,Chile,Deportivo San Marcos de Arica,Primera Division
A. Barry,LB; CB; CM,55,Republic of Ireland,Derry City,Premier Division
A. Barthe,CB,67,France,Grasshopper Club Zürich,Super League
A. Bartlett,GK,59,England,Hartlepool United,League Two
A. Barton,CM,63,Republic of Ireland,Coventry City,League One
A. Barusso,CDM; CM,62,Ghana,Torino F.C.,Serie A
A. Barylla,RM; RB,60,Germany,FSV Zwickau,3. Liga
A. Barzagli,CB,83,Italy,Juventus,Serie A
A. Barák,CAM; CM; CF,70,Czech Republic,,
A. Basenach,CDM; CM,55,Germany,Kaiserslautern,2. Bundesliga
A. Basit,CM,63,Ghana,Clube Sport Marítimo,Liga Portugal
A. Basit Adam,ST,54,Ghana,Gefle,Allsvenskan
A. Bass,GK,53,England,Portsmouth,League Two
A. Bassele,RM,52,England,AFC Bournemouth,Championship
A. Bassey,RM,62,Nigeria,KAS Eupen,Jupiler Pro League
A. Bassi,CAM,58,France,Nancy,Ligue 1
A. Bassoli,LB; CB,67,Italy,Pordenone,Serie B
A. Basta,RB,61,Poland,GKS Bełchatów,Ekstraklasa
A. Bastiaans,CAM; CM,56,Netherlands,VVV-Venlo,Eredivisie
A. Bastoni,CB,64,Italy,Atalanta,Serie A
A. Bastrini,LB; CB,62,Italy,Ternana,Serie B
A. Bastía,CM; CDM,67,Argentina,Atlético de Rafaela,Liga Profesional
A. Basuljevic,CM; CDM; CAM,53,United States,New York Red Bulls,Major League Soccer
A. Batalla,GK,60,Argentina,River Plate,Liga Profesional
A. Bates,CM; CAM,53,England,Walsall,League One
A. Batioja,ST,57,Ecuador,Emelec,Liga Pro
A. Batisse,CB; CDM,56,France,Chamois Niortais Football Club,Ligue 2
A. Batsuev,CM; CDM,59,Russia,Terek Grozny,Premier League
A. Batsula,LB; LM,65,Ukraine,KV Kortrijk,Jupiler Pro League
A. Battle,ST,49,England,Plymouth Argyle,League One
A. Batyutin,ST; CAM,58,Russia,FC Krasnodar,Premier League
A. Baumjohann,CAM,74,Germany,Hertha BSC,Bundesliga
A. Baun,RM; LM,55,Denmark,Hobro,Superliga
A. Bavena,GK,57,Italy,Avellino,Serie B
A. Bayes,GK,49,England,AFC Wimbledon,League Two
A. Bayew,RW,51,Australia,Western United,A-League
A. Bayındır,GK,57,Turkey,MKE Ankaragücü,Super Lig
A. Bazanov,ST; CF,61,Russia,Arsenal Tula,Premier League
A. Bazdrigiannis,RM,56,Germany,Freiburg II,3. Liga
A. Bačinovič,CM,67,Slovenia,SS Virtus Lanciano,Serie B
A. Bačić,CM,53,Austria,Austria Lustenau,Bundesliga
A. Bdeir,ST,51,Sweden,Varbergs BoIS FC,Allsvenskan
A. Becerra,GK,57,Chile,Deportes Iquique,Primera Division
A. Beck,RB; LB,74,Germany,TSG Hoffenheim,Bundesliga
A. Becker,ST,62,Germany,Jahn Regensburg,2. Bundesliga
A. Bedell,ST,60,United States,Columbus Crew,Major League Soccer
A. Bedoya,CAM; CF; RM,73,United States,FC Nantes,Ligue 1
A. Bedrane,CB,69,Algeria,Dhamk,Pro League
A. Beduschi,RB; CB,58,Italy,Vicenza,Serie B
A. Beestin,CAM; ST,51,England,Doncaster Rovers,League Two
A. Beghetto,LM,50,Italy,SPAL,Serie B
A. Begović,GK,82,Bosnia and Herzegovina,Stoke City,Premier League
A. Behich,LB; LM,62,Australia,Bursaspor,Super Lig
A. Beiranvand,GK,73,Iran,Antwerp,Jupiler Pro League
A. Beith,CM,52,Scotland,Heart of Midlothian,Premiership
A. Bejarano,CM; CDM,66,Bolivia,Independiente Petrolero,Liga De Futbol Prof
A. Beka Beka,RB; CM,59,France,Caen,Ligue 2
A. Belahmeur,CM,53,France,RC Strasbourg Alsace,Ligue 2
A. Belaïd,CB; LB; LM,61,Tunisia,Rotherham United,Championship
A. Belenov,GK,73,Russia,Kuban Krasnodar,Premier League
A. Belhadji,RW; LW,61,Spain,Real Zaragoza,La Liga 2
A. Bell,LWB; LB,56,England,Birmingham City,Championship
A. Bella Kotchap,CB,67,Germany,VfL Bochum 1848,2. Bundesliga
A. Bella-Kotchap,CB,54,Germany,VfL Bochum 1848,2. Bundesliga
A. Bellante,GK,53,Switzerland,FC Lugano,Super League
A. Bellemo,CM,59,Italy,SPAL,Serie A
A. Bellinghausen,LM,69,Germany,Fortuna Düsseldorf,2. Bundesliga
A. Belmonte,CM,62,France,Dijon FCO,Ligue 2
A. Belotti,ST,68,Italy,Palermo,Serie A
A. Belov,CB,57,Russia,Anzhi,Premier League
A. Belozerov,CB,63,Russia,FC Ural Yekaterinburg,Premier League
A. Ben Achour,ST,59,France,Montpellier,Ligue 1
A. Ben Lamin,CB,53,Sweden,AIK,Allsvenskan
A. Ben Mohamed,LM,53,Tunisia,UCD AFC,Premier Division
A. Ben Slimane,CM; CAM; CDM,55,Tunisia,Brøndby,Superliga
A. Benali,CM; CDM,64,Libya,Brescia,Serie B
A. Benaniba,CDM,49,France,US Créteil-Lusitanos,Ligue 2
A. Benarous,CAM; RM; LM,56,England,Bristol City,Championship
A. Benchaib,LM,61,Morocco,Sporting Lokeren,Jupiler Pro League
A. Bencharki,ST; LW,69,Morocco,Al Hilal,Pro League
A. Bencze,GK,60,Hungary,Vitória de Guimarães,Liga Portugal
A. Bendle,CDM,54,England,AFC Wimbledon,League Two
A. Benedetti,CM; LM,58,Italy,Cittadella,Serie B
A. Benediktsson,GK,55,Iceland,IFK Göteborg,Allsvenskan
A. Benedyczak,ST,52,Poland,Pogoń Szczecin,Ekstraklasa
A. Benga,CB,59,Romania,Sandecja Nowy Sącz,Ekstraklasa
A. Bengtsson,LB,50,Sweden,Halmstads BK,Allsvenskan
A. Bennett,CB,59,Republic of Ireland,AFC Wimbledon,League Two
A. Bentivegna,RW,56,Italy,Palermo,Serie A
A. Bentley,CB,50,England,Plymouth Argyle,League Two
A. Benyahia-Tani,ST,61,France,Olympique Marseille,Ligue 1
A. Benítez,LW,57,Mexico,Deportivo Toluca,Liga MX
A. Berardi,GK,62,Italy,Lazio,Serie A
A. Berber,RWB; RB,60,Mexico,Tiburones Rojos de Veracruz,Liga MX
A. Bercucan,LM,58,Romania,FC Academica Clinceni,Liga 1
A. Berezin,GK,57,Russia,Arsenal Tula,Premier League
A. Berezutskiy,CB; RB; LB,74,Russia,PFC CSKA Moscow,Premier League
A. Bergmark Wiberg,ST,56,Sweden,Djurgården,Allsvenskan
A. Berisha,ST,50,Sweden,Halmstads BK,Allsvenskan
A. Berkane,RM; LM,58,France,Troyes,Ligue 2
A. Bernabei,LB,58,Argentina,Lanús,Liga Profesional
A. Bernal,CDM; CM,65,Colombia,Atlético Nacional,Liga BetPlay
A. Bernardini,CB,69,Italy,Livorno,Serie B
A. Bernede,CAM,61,France,Paris Saint-Germain,Ligue 1
A. Bernhardsson,LM,53,Sweden,Elfsborg,Allsvenskan
A. Bernier,RW; LW,61,Belgium,Royal Antwerp FC,Jupiler Pro League
A. Berntsson,CB,50,Sweden,Halmstads BK,Allsvenskan
A. Berry,CB,62,United States,Philadelphia Union,Major League Soccer
A. Bertaso,CM,50,Italy,Vicenza,Serie B
A. Bertolacci,CM,72,Italy,Genoa,Serie A
A. Berzel,RB,60,Germany,SV Darmstadt 98,2. Bundesliga
A. Besedin,ST,73,Ukraine,Dynamo Kyiv,Premier League
A. Besio,ST,55,Switzerland,St. Gallen,Super League
A. Bettaieb,ST,66,Tunisia,Ümraniyespor,Super Lig
A. Betten Hansen,RB; RM,59,Norway,Mjøndalen,Eliteserien
A. Bevins,ST,47,England,Cambridge United,League Two
A. Beyazıt,CF; RM; LM,59,Germany,FC Energie Cottbus,3. Liga
A. Bhattacharya,GK,52,India,,
A. Bianchimano,ST,60,Italy,Perugia,Serie B
A. Bianco,CM,58,Italy,Fiorentina,Serie A
A. Biekman,ST,59,Netherlands,FC Dordrecht,Eredivisie
A. Bieler,CAM; CM; CDM,63,Germany,SV Sandhausen,2. Bundesliga
A. Bifulco,RM; CM,54,Italy,Carpi,Serie B
A. Bikey,CB; CDM,66,Cameroon,Charlton Athletic,Championship
A. Bilal,ST,50,Saudi Arabia,Al Shabab,Pro League
A. Bilali,CB,60,Albania,Academica Clinceni,Liga 1
A. Billard,GK,72,Paraguay,,
A. Bin Khayrallah,RM,63,Saudi Arabia,Al Shabab,Pro League
A. Bin Mohammed,CM,57,Saudi Arabia,Najran SC,Pro League
A. Binous,ST,54,Switzerland,FC Luzern,Super League
A. Birch,CAM,56,England,West Bromwich Albion,Premier League
A. Bischoff,CM; CAM,67,Portugal,F.C. Hansa Rostock,3. Liga
A. Bishop,GK,46,England,Mansfield Town,League Two
A. Bissaka,RM; LM,57,Congo DR,Crystal Palace,Premier League
A. Bittroff,LB; RB,65,Germany,FSV Frankfurt,2. Bundesliga
A. Biyogo Poko,CDM; CM,69,Gabon,FC Girondins de Bordeaux,Ligue 1
A. Bizzarri,GK,73,Argentina,Genoa,Serie A
A. Bjarnason,ST,65,Iceland,1. FC Kaiserslautern,3. Liga
A. Bjelica,CB,60,Serbia,PEC Zwolle,Eredivisie
A. Bjelkendal Haaranen,CDM,51,Sweden,Gefle IF,Allsvenskan
A. Bjelland,CB,75,Denmark,FC Twente,Eredivisie
A. Bjerregaard,ST,62,Denmark,AC Horsens,Superliga
A. Bjordal,LB,50,Norway,FK Haugesund,Eliteserien
A. Björkebaum,ST,61,Sweden,IK Sirius,Allsvenskan
A. Björnström,CB,52,Sweden,Sirius,Allsvenskan
A. Bjørnvåg,CB,51,Norway,Sarpsborg 08 FF,Eliteserien
A. Black,RB; RM; RW,51,Scotland,Dundee FC,Premiership
A. Blackman,LB; LM,57,England,Blackpool,Championship
A. Blake,GK,62,Jamaica,Philadelphia Union,Major League Soccer
A. Blanchard,CM,52,England,Gillingham,League One
A. Blanco,GK,64,Mexico,Pachuca,Liga MX
A. Blandón,GK,53,Colombia,Once Caldas,Liga BetPlay
A. Blažević,ST,52,Croatia,KV Oostende,Jupiler Pro League
A. Blejdea,LW; CF; RW,63,Romania,Argeş,Liga 1
A. Blidar,CM; RW,50,Romania,U Craiova 1948,Liga 1
A. Blin,CDM; CM,58,France,Toulouse Football Club,Ligue 1
A. Bliznichenko,LM,56,Ukraine,Kardemir Karabükspor,Super Lig
A. Blomqvist,CB,55,Sweden,Malmö FF,Allsvenskan
A. Blondell,ST; RW,67,Venezuela,Vancouver Whitecaps,Major League Soccer
A. Bo Shagra,RB; CB,65,Saudi Arabia,Al Fateh,Pro League
A. Boakye,CAM; RW; LW,56,Ghana,RZ Pellets Wolfsberger AC,Bundesliga
A. Boanz,CM,51,Saudi Arabia,Al Fateh,Pro League
A. Bober,LM; CM,68,Russia,FC Mordovia Saransk,Premier League
A. Bobichon,RM,56,France,Nîmes Olympique,Ligue 2
A. Bocchetti,CB; LB,65,Italy,US Salernitana 1919,Serie B
A. Bodart,GK,55,Belgium,Standard de Liège,Jupiler Pro League
A. Bodzek,CB; CDM,71,Germany,Fortuna Düsseldorf,2. Bundesliga
A. Bogdanov,CM,70,Ukraine,Arka Gdynia,Ekstraklasa
A. Bogusz,LB; RB,55,Poland,ŁKS Łódź,Ekstraklasa
A. Boiciuc,ST,60,Moldova,Academica Clinceni,Liga 1
A. Boiro,CDM; CB,63,Senegal,Gimnàstic de Tarragona,La Liga 2
A. Boka,LB; CDM; LM,73,Côte d'Ivoire,Málaga CF,La Liga
A. Bol,CB,58,Ukraine,Dynamo Kyiv,Premier League
A. Boland,LB,50,England,Tranmere Rovers,League Two
A. Bolaños,LM; RM,71,Ecuador,Club Olimpo,Liga Profesional
A. Bolger,CM,49,Republic of Ireland,Shamrock Rovers,Premier Division
A. Bolivar,CDM,56,Argentina,Gimnasia y Esgrima La Plata,Liga Profesional
A. Boljević,LW; RW,63,Montenegro,PSV,Eredivisie
A. Bolyki,LM; RM; ST,63,Hungary,Hallescher FC,3. Liga
A. Boman,CM,47,Sweden,Varberg BoIS,Allsvenskan
A. Bonacciale,RB; LB,63,Italy,Virtus Entella Chiavari,Serie B
A. Bonansea,ST,63,Argentina,Rosario Central,Liga Profesional
A. Bond,CM; CAM,57,England,Stevenage,League Two
