name,positions,rating,club,league,nationality
Evanilson,ST,80,AFC Bournemouth,Premier League,Brazil
De Marcos,RB,80,Athletic Club,LALIGA EA SPORTS,Spain
Michele Di Gregorio,GK,80,Juventus,Serie A Enilive,Italy
Eric Dier,CB,80,FC Bayern München,Bundesliga,England
Jérémy Doku,LW;RW;LM,80,Manchester City,Premier League,Belgium
Éderson,CM;CAM,80,Bergamo Calcio,Serie A Enilive,Brazil
Wataru Endo,CDM;CM,80,Liverpool,Premier League,Japan
Pervis Estupiñán,LB,80,Brighton,Premier League,Ecuador
Wladimiro Falcone,GK,80,Lecce,Serie A Enilive,Italy
João Félix,LW;ST;LM,80,Chelsea,Premier League,Portugal
Suso,RM;CAM;CM;RW,80,Sevilla FC,LALIGA EA SPORTS,Spain
Seko Fofana,CM;CDM,80,Ettifaq FC,ROSHN Saudi League,Côte d'Ivoire
Juan Foyth,RB,80,Villarreal CF,LALIGA EA SPORTS,Argentina
Javi Galán,LB,80,Atlético de Madrid,LALIGA EA SPORTS,Spain
Pepelu,CM;CDM,80,Valencia CF,LALIGA EA SPORTS,Spain
Nuno Santos,LM;LB;LW,80,Sporting CP,Liga Portugal,Portugal
Joe Gomez,CB;RB;LB,80,Liverpool,Premier League,England
Nicolás González,RW;RM;LW,80,Juventus,Serie A Enilive,Argentina
Mario Götze,CAM;CM;ST,80,Frankfurt,Bundesliga,Germany
Vincenzo Grifo,LM;CAM;LW,80,SC Freiburg,Bundesliga,Italy
Nemanja Gudelj,CB;CDM,80,Sevilla FC,LALIGA EA SPORTS,Serbia
Albert Guðmundsson,ST,80,Fiorentina,Serie A Enilive,Iceland
Mattéo Guendouzi,CM;CAM,80,Latium,Serie A Enilive,France
Malo Gusto,RB,80,Chelsea,Premier League,France
Miguel Gutiérrez,LB;LM,80,Girona FC,LALIGA EA SPORTS,Spain
Amadou Haidara,CM;CDM,80,RB Leipzig,Bundesliga,Mali
Danilo Pereira,CB;CDM,80,Al Ittihad,ROSHN Saudi League,Portugal
Jordan Henderson,CDM;CM,80,Ajax,Eredivisie,England
Morten Hjulmand,CDM;CM,80,Sporting CP,Liga Portugal,Denmark
Pierre-Emile Højbjerg,CDM;CM,80,OM,Ligue 1 McDonald's,Denmark
Ibañez,CB,80,Al Ahli,ROSHN Saudi League,Brazil
Bento,GK,80,Al Nassr,ROSHN Saudi League,Brazil
Thomas Lemar,CM;LM,80,Atlético de Madrid,LALIGA EA SPORTS,France
Dominik Livaković,GK,80,Fenerbahçe,Trendyol Süper Lig,Croatia
Giovani Lo Celso,CAM;CM,80,Real Betis,LALIGA EA SPORTS,Argentina
David López,CB;CDM,80,Girona FC,LALIGA EA SPORTS,Spain
Harry Maguire,CB,80,Man Utd,Premier League,England
Reinildo,LB;CB,80,Atlético de Madrid,LALIGA EA SPORTS,Mozambique
Iván Martín,CAM;CM,80,Girona FC,LALIGA EA SPORTS,Spain
Nemanja Matić,CDM;CM,80,OL,Ligue 1 McDonald's,Serbia
Bryan Mbeumo,RW;ST;RM,80,Brentford,Premier League,Cameroon
Facundo Medina,CB,80,RC Lens,Ligue 1 McDonald's,Argentina
Édouard Mendy,GK,80,Al Ahli,ROSHN Saudi League,Senegal
Dries Mertens,CAM;ST,80,Galatasaray,Trendyol Süper Lig,Belgium
Daniel Muñoz,RB,80,Crystal Palace,Premier League,Colombia
Vedat Muriqi,ST,80,RCD Mallorca,LALIGA EA SPORTS,Kosovo
João Mário,LM;RM;CM;LW,80,SL Benfica,Liga Portugal,Portugal
Jesús Navas,RB;RM,80,Sevilla FC,LALIGA EA SPORTS,Spain
David Neres,LM;RM;CAM;LW,80,SSC Napoli,Serie A Enilive,Brazil
Alexander Nübel,GK,80,VfB Stuttgart,Bundesliga,Germany
Mario Pašalić,CM;CAM,80,Bergamo Calcio,Serie A Enilive,Croatia
Vangelis Pavlidis,ST,80,SL Benfica,Liga Portugal,Greece
Matteo Politano,RW;RM,80,SSC Napoli,Serie A Enilive,Italy
Ivan Rakitić,CM;CDM,80,Hajduk Split,Liga Hrvatska,Croatia
Amir Rrahmani,CB,80,SSC Napoli,Serie A Enilive,Kosovo
Ruiz de Galarreta,CDM;CM,80,Athletic Club,LALIGA EA SPORTS,Spain
Allan Saint-Maximin,LM;LW,80,Fenerbahçe,Trendyol Süper Lig,France
Davinson Sánchez,CB,80,Galatasaray,Trendyol Süper Lig,Colombia
Diego Carlos,CB,80,Aston Villa,Premier League,Brazil
Téji Savanier,CAM;CM,80,Montpellier,Ligue 1 McDonald's,France
Kasper Schmeichel,GK,80,Celtic,Scottish Prem,Denmark
William Carvalho,CDM;CAM,80,Real Betis,LALIGA EA SPORTS,Portugal
Mohamed Simakan,CB;RB,80,Al Nassr,ROSHN Saudi League,France
Sebastian Szymański,CAM;RM,80,Fenerbahçe,Trendyol Süper Lig,Poland
Mehdi Taremi,ST,80,Lombardia FC,Serie A Enilive,Iran
James Tarkowski,CB,80,Everton,Premier League,England
Jean-Clair Todibo,CB,80,West Ham,Premier League,France
Ivan Toney,ST,80,Brentford,Premier League,England
Ferran Torres,LW;RW;ST;LM,80,FC Barcelona,LALIGA EA SPORTS,Spain
Hamari Traoré,RB,80,Real Sociedad,LALIGA EA SPORTS,Mali
Lars Unnerstall,GK,80,FC Twente,Eredivisie,Germany
André Silva,ST,80,RB Leipzig,Bundesliga,Portugal
Hans Vanaken,CAM;CM,80,Club Brugge,1A Pro League,Belgium
Jordan Veretout,CM;CDM,80,OM,Ligue 1 McDonald's,France
Timo Werner,LM;ST;LW,80,Spurs,Premier League,Germany
Mats Wieffer,CDM;CM,80,Brighton,Premier League,Holland
Axel Witsel,CB,80,Atlético de Madrid,LALIGA EA SPORTS,Belgium
Barış Alper Yılmaz,RM;LM;LB;RW,80,Galatasaray,Trendyol Süper Lig,Turkey
Warren Zaïre-Emery,CM;CDM,80,Paris SG,Ligue 1 McDonald's,France
André-Franck Zambo Anguissa,CDM;CM,80,SSC Napoli,Serie A Enilive,Cameroon
Lucas Zelarayán,CAM;ST,80,Al Fateh,ROSHN Saudi League,Armenia
Hakim Ziyech,RM;CAM;RW,80,Galatasaray,Trendyol Süper Lig,Morocco
Zubeldia,CB,80,Real Sociedad,LALIGA EA SPORTS,Spain
Karim Adeyemi,LM;RM;ST;LW,79,Borussia Dortmund,Bundesliga,Germany
Nayef Aguerd,CB,79,Real Sociedad,LALIGA EA SPORTS,Morocco
Rayan Aït-Nouri,LB;LM,79,Wolves,Premier League,Algeria
Raúl Albiol,CB,79,Villarreal CF,LALIGA EA SPORTS,Spain
Kepa,GK,79,AFC Bournemouth,Premier League,Spain
Emil Audero,GK,79,Como,Serie A Enilive,Italy
Ezequiel Ávila,ST;RM;LM,79,Real Betis,LALIGA EA SPORTS,Argentina
Azpilicueta,CB;RB,79,Atlético de Madrid,LALIGA EA SPORTS,Spain
Álex Baena,LM;ST;LW,79,Villarreal CF,LALIGA EA SPORTS,Spain
Alexander Bah,RB,79,SL Benfica,Liga Portugal,Denmark
Johan Bakayoko,RW;RM,79,PSV,Eredivisie,Belgium
Leonardo Balerdi,CB,79,OM,Ligue 1 McDonald's,Argentina
Éver Banega,CM;CDM;CAM,79,Newell's,Primera División,Argentina
Abdülkerim Bardakcı,CB;LB,79,Galatasaray,Trendyol Süper Lig,Turkey
Yuri Berchiche,LB,79,Athletic Club,LALIGA EA SPORTS,Spain
Steven Berghuis,RW;CAM;RM,79,Ajax,Eredivisie,Holland
Steven Bergwijn,LW;LM,79,Al Ittihad,ROSHN Saudi League,Holland
Cristiano Biraghi,LB,79,Fiorentina,Serie A Enilive,Italy
Marco Bizot,GK,79,Stade Brestois 29,Ligue 1 McDonald's,Holland
Sacha Boey,RB,79,FC Bayern München,Bundesliga,France
Giacomo Bonaventura,CAM;CM,79,Al Shabab,ROSHN Saudi League,Italy
Jarrad Branthwaite,CB,79,Everton,Premier League,England
Brian Brobbey,ST,79,Ajax,Eredivisie,Holland
Marcin Bułka,GK,79,OGC Nice,Ligue 1 McDonald's,Poland
Matheus Cunha,ST;CAM,79,Wolves,Premier League,Brazil
Matty Cash,RB;RM,79,Aston Villa,Premier League,Poland
Valentin Castellanos,ST,79,Latium,Serie A Enilive,Argentina
Catena,CB,79,CA Osasuna,LALIGA EA SPORTS,Spain
Dani Ceballos,CM;CAM,79,Real Madrid,LALIGA EA SPORTS,Spain
Ben Chilwell,LB,79,Chelsea,Premier League,England
Jordy Clasie,CDM;CM,79,AZ,Eredivisie,Holland
Dante,CB,79,OGC Nice,Ligue 1 McDonald's,Brazil
Charles De Ketelaere,CAM;ST,79,Bergamo Calcio,Serie A Enilive,Belgium
Marten de Roon,CM;CDM;CB,79,Bergamo Calcio,Serie A Enilive,Holland
Romain Del Castillo,RW;RM,79,Stade Brestois 29,Ligue 1 McDonald's,France
Ermedin Demirović,ST;LM,79,VfB Stuttgart,Bundesliga,Bosnia and Herzegovina
Sergiño Dest,LB;RB,79,PSV,Eredivisie,United States
Boulaye Dia,ST,79,Latium,Serie A Enilive,Senegal
Samuel Lino,LM;LB;LW,79,Atlético de Madrid,LALIGA EA SPORTS,Brazil
Lucas Digne,LB,79,Aston Villa,Premier League,France
Stole Dimitrievski,GK,79,Valencia CF,LALIGA EA SPORTS,North Macedonia
Axel Disasi,CB;RB,79,Chelsea,Premier League,France
Alexander Djiku,CB,79,Fenerbahçe,Trendyol Süper Lig,Ghana
Cheick Doucouré,CDM;CM,79,Crystal Palace,Premier League,Mali
Lewis Dunk,CB,79,Brighton,Premier League,England
Hugo Duro,ST,79,Valencia CF,LALIGA EA SPORTS,Spain
Marcus Edwards,RW;LW;ST;RM,79,Sporting CP,Liga Portugal,England
Stephan El Shaarawy,LM;LW;CAM,79,AS Roma,Serie A Enilive,Italy
Eljif Elmas,CAM;CM;LW,79,RB Leipzig,Bundesliga,North Macedonia
Aritz Elustondo,RB;CB,79,Real Sociedad,LALIGA EA SPORTS,Spain
Lewis Ferguson,CM;CAM,79,Bologna,Serie A Enilive,Scotland
Mark Flekken,GK,79,Brentford,Premier League,Holland
Emil Forsberg,CAM;LM,79,Red Bulls,MLS,Sweden
Chris Führich,LM;LW;CAM,79,VfB Stuttgart,Bundesliga,Germany
Álvaro García,LM;CAM;LW,79,Rayo Vallecano,LALIGA EA SPORTS,Spain
Alejandro Garnacho,LM;RM;LW,79,Man Utd,Premier League,Argentina
Lutsharel Geertruida,CB;RB,79,RB Leipzig,Bundesliga,Holland
Morgan Gibbs-White,CAM;RM,79,Nott'm Forest,Premier League,England
Carles Gil,CAM;RM,79,New England,MLS,Spain
Santiago Giménez,ST,79,Feyenoord,Eredivisie,Mexico
Moi Gómez,CM;LM;RM,79,CA Osasuna,LALIGA EA SPORTS,Spain
João Neves,CM;CDM,79,Paris SG,Ligue 1 McDonald's,Portugal
Robin Gosens,LB;LM,79,Fiorentina,Serie A Enilive,Germany
Mason Greenwood,RM;ST;LM;RW,79,OM,Ligue 1 McDonald's,England
Guruzeta,ST,79,Athletic Club,LALIGA EA SPORTS,Spain
Sébastien Haller,ST,79,CD Leganés,LALIGA EA SPORTS,Côte d'Ivoire
Dean Henderson,GK,79,Crystal Palace,Premier League,England
Franck Honorat,RM;RW,79,M'gladbach,Bundesliga,France
Hiroki Ito,CB;LB,79,FC Bayern München,Bundesliga,Japan
Nicolas Jackson,ST,79,Chelsea,Premier League,Senegal
Curtis Jones,CM;CAM,79,Liverpool,Premier League,England
Luka Jović,ST,79,Milano FC,Serie A Enilive,Serbia
İrfan Can Kahveci,RW;CAM;CM;RM,79,Fenerbahçe,Trendyol Süper Lig,Turkey
Lukas Klostermann,CB;RB,79,RB Leipzig,Bundesliga,Germany
Robin Koch,CB,79,Frankfurt,Bundesliga,Germany
Sead Kolašinac,CB;LB,79,Bergamo Calcio,Serie A Enilive,Bosnia and Herzegovina
Geoffrey Kondogbia,CM;CDM,79,OM,Ligue 1 McDonald's,Central African Republic
Erik Lamela,RW;CAM;RM,79,AEK Athens,Hellas Liga,Argentina
Noa Lang,LW;CAM;LM,79,PSV,Eredivisie,Holland
Manuel Lazzari,RB,79,Latium,Serie A Enilive,Italy
Lee Kang In,CAM;CM;RW,79,Paris SG,Ligue 1 McDonald's,Korea Republic
Pierre Lees-Melou,CDM;CM,79,Stade Brestois 29,Ligue 1 McDonald's,France
Mario Lemina,CDM;CM,79,Wolves,Premier League,Gabon
Jefferson Lerma,CDM;CM;CB,79,Crystal Palace,Premier League,Colombia
Philipp Lienhart,CB,79,SC Freiburg,Bundesliga,Austria
Matheus,GK,79,SC Braga,Liga Portugal,Brazil
Hugo Lloris,GK,79,LAFC,MLS,France
Pedro Neto,RW;LW;ST;RM,79,Chelsea,Premier League,Portugal
Anthony Lopes,GK,79,OL,Ligue 1 McDonald's,Portugal
Pau López,GK,79,Girona FC,LALIGA EA SPORTS,Spain
Castello Lukeba,CB,79,RB Leipzig,Bundesliga,France
Dodi Lukébakio,RW;ST;LW;RM,79,Sevilla FC,LALIGA EA SPORTS,Belgium
Robert Sánchez,GK,79,Chelsea,Premier League,Spain
Ian Maatsen,LB,79,Aston Villa,Premier League,Holland
Pablo Maffeo,RB;LB,79,RCD Mallorca,LALIGA EA SPORTS,Argentina
José Sá,GK,79,Wolves,Premier League,Portugal
Omar Marmoush,ST;LW,79,Frankfurt,Bundesliga,Egypt
Arnau Martínez,RB;CB,79,Girona FC,LALIGA EA SPORTS,Spain
Adam Marušić,LB;RB,79,Latium,Serie A Enilive,Montenegro
Jean-Philippe Mateta,ST,79,Crystal Palace,Premier League,France
Borja Mayoral,ST,79,Getafe CF,LALIGA EA SPORTS,Spain
Chancel Mbemba,CB,79,OM,Ligue 1 McDonald's,Congo DR
Callum McGregor,CDM;CM,79,Celtic,Scottish Prem,Scotland
Medrán,CM;CAM,79,Ettifaq FC,ROSHN Saudi League,Spain
Nikola Milenković,CB,79,Nott'm Forest,Premier League,Serbia
Takumi Minamino,CAM;RM;LM,79,AS Monaco,Ligue 1 McDonald's,Japan
Tyrone Mings,CB,79,Aston Villa,Premier League,England
Maximilian Mittelstädt,LB;LM,79,VfB Stuttgart,Bundesliga,Germany
Álex Moreno,LB,79,Nott'm Forest,Premier League,Spain
Hidemasa Morita,CM;CDM,79,Sporting CP,Liga Portugal,Japan
Florentino,CDM;CM,79,SL Benfica,Liga Portugal,Portugal
Hany Mukhtar,CAM;ST,79,Nashville SC,MLS,Germany
Nordi Mukiele,RB;CB,79,Leverkusen,Bundesliga,France
Juan Musso,GK,79,Atlético de Madrid,LALIGA EA SPORTS,Argentina
Galeno,LM;LW,79,FC Porto,Liga Portugal,Brazil
Matt O'Riley,CM;CAM;CDM,79,Brighton,Premier League,Denmark
Jonas Omlin,GK,79,M'gladbach,Bundesliga,Switzerland
Ayoze Pérez,LM;RM;CAM;LW,79,Villarreal CF,LALIGA EA SPORTS,Spain
Mattia Perin,GK,79,Juventus,Serie A Enilive,Italy
Matteo Pessina,CM;CDM;CAM,79,Monza,Serie A Enilive,Italy
Đorđe Petrović,GK,79,Strasbourg,Ligue 1 McDonald's,Serbia
Ethan Pinnock,CB,79,Brentford,Premier League,Jamaica
Yeremy Pino,LM;LW;RM,79,Villarreal CF,LALIGA EA SPORTS,Spain
Soufiane Rahimi,LM;LW;ST,79,Al Ain FC,United Emirates League,Morocco
Gonçalo Ramos,ST,79,Paris SG,Ligue 1 McDonald's,Portugal
Antonee Robinson,LB,79,Fulham,Premier League,United States
Kaku,CAM;CM,79,Al Ain FC,United Emirates League,Paraguay
Oriol Romeu,CDM;CM,79,Girona FC,LALIGA EA SPORTS,Spain
Valentin Rongier,CDM;CM,79,OM,Ligue 1 McDonald's,France
Frederik Rønnow,GK,79,Union Berlin,Bundesliga,Denmark
Gerónimo Rulli,GK,79,OM,Ligue 1 McDonald's,Argentina
Julian Ryerson,RB;LB,79,Borussia Dortmund,Bundesliga,Norway
Pape Matar Sarr,CDM;CM,79,Spurs,Premier League,Senegal
Gianluca Scamacca,ST,79,Bergamo Calcio,Serie A Enilive,Italy
Perr Schuurs,CB,79,Torino,Serie A Enilive,Holland
Benjamin Šeško,ST,79,RB Leipzig,Bundesliga,Slovenia
Mário Rui,LB,79,SSC Napoli,Serie A Enilive,Portugal
Wilfried Singo,CB;RB,79,AS Monaco,Ligue 1 McDonald's,Côte d'Ivoire
Łukasz Skorupski,GK,79,Bologna,Serie A Enilive,Poland
Tomáš Souček,CDM;CM,79,West Ham,Premier League,Czech Republic
Leonardo Spinazzola,LM;LB;LW,79,SSC Napoli,Serie A Enilive,Italy
António Silva,CB,79,SL Benfica,Liga Portugal,Portugal
Pietro Terracciano,GK,79,Fiorentina,Serie A Enilive,Italy
Martin Terrier,ST;LM,79,Leverkusen,Bundesliga,France
Kieran Tierney,LB,79,Arsenal,Premier League,Scotland
Quinten Timber,CM;CAM;CDM,79,Feyenoord,Eredivisie,Holland
Jurriën Timber,CB,79,Arsenal,Premier League,Holland
Rafael Tolói,CB,79,Bergamo Calcio,Serie A Enilive,Italy
Edin Višća,RM;RW,79,Trabzonspor,Trendyol Süper Lig,Bosnia and Herzegovina
Nikola Vlašić,CAM;RW;LW,79,Torino,Serie A Enilive,Croatia
Aaron Wan-Bissaka,RB,79,West Ham,Premier League,England
James Ward-Prowse,CM;CDM;CAM,79,Nott'm Forest,Premier League,England
Julian Weigl,CDM;CM,79,M'gladbach,Bundesliga,Germany
Yoane Wissa,LW;ST;LM,79,Brentford,Premier League,Congo DR
Denis Zakaria,CDM;CM,79,AS Monaco,Ligue 1 McDonald's,Switzerland
Davide Zappacosta,LB;LM;RM,79,Bergamo Calcio,Serie A Enilive,Italy
Edon Zhegrova,RM;RW,79,LOSC Lille,Ligue 1 McDonald's,Kosovo
Oleksandr Zinchenko,LB,79,Arsenal,Premier League,Ukraine
Joshua Zirkzee,ST,79,Man Utd,Premier League,Holland
Carlos Augusto,LM;LB;LW,79,Lombardia FC,Serie A Enilive,Brazil
Saud Abdulhamid,RB,78,AS Roma,Serie A Enilive,Saudi Arabia
Tammy Abraham,ST,78,Milano FC,Serie A Enilive,England
Tosin Adarabioyo,CB,78,Chelsea,Premier League,England
Amine Adli,ST;LM;CAM,78,Leverkusen,Bundesliga,Morocco
Joseph Aidoo,CB,78,RC Celta,LALIGA EA SPORTS,Ghana
Miguel Almirón,RW;RM,78,Newcastle Utd,Premier League,Paraguay
Nadiem Amiri,CM;CAM,78,1. FSV Mainz 05,Bundesliga,Germany
Sofyan Amrabat,CDM;CM,78,Fenerbahçe,Trendyol Süper Lig,Morocco
Michail Antonio,ST,78,West Ham,Premier League,Jamaica
Mauro Arambarri,CDM;CM,78,Getafe CF,LALIGA EA SPORTS,Uruguay
Cristian Arango,ST;CAM,78,Real Salt Lake,MLS,Colombia
Benoît Badiashile,CB,78,Chelsea,Premier League,France
Antonín Barák,CM;CAM,78,Fiorentina,Serie A Enilive,Czech Republic
Ricardo Pereira,RB,78,Leicester City,Premier League,Portugal
Melvin Bard,LB;LM,78,OGC Nice,Ligue 1 McDonald's,France
Ross Barkley,CM;CAM,78,Aston Villa,Premier League,England
Marc Bartra,CB,78,Real Betis,LALIGA EA SPORTS,Spain
Maximilian Beier,ST;LW,78,Borussia Dortmund,Bundesliga,Germany
Andrea Belotti,ST,78,Como,Serie A Enilive,Italy
Fran Beltrán,CDM;CM,78,RC Celta,LALIGA EA SPORTS,Spain
Saïd Benrahma,LW;LM,78,OL,Ligue 1 McDonald's,Algeria
Ramy Bensebaini,LB;CB,78,Borussia Dortmund,Bundesliga,Algeria
Nabil Bentaleb,CDM;CM,78,LOSC Lille,Ligue 1 McDonald's,Algeria
Mergim Berisha,ST,78,TSG Hoffenheim,Bundesliga,Germany
Jan-Niklas Beste,LM;RM;LB;LW,78,SL Benfica,Liga Portugal,Germany
Veljko Birmančević,RW;LW;RM,78,Sparta Praha,Česká Liga,Serbia
Olivier Boscagli,CB,78,PSV,Eredivisie,France
Lilian Brassier,CB,78,OM,Ligue 1 McDonald's,France
Ante Budimir,ST,78,CA Osasuna,LALIGA EA SPORTS,Croatia
Emiliano Buendía,RM;CAM;RW,78,Aston Villa,Premier League,Argentina
Roman Bürki,GK,78,St. Louis CITY SC,MLS,Switzerland
Dan Burn,CB;LB,78,Newcastle Utd,Premier League,England
Nélson Semedo,RB,78,Wolves,Premier League,Portugal
Riccardo Calafiori,CB;LB,78,Arsenal,Premier League,Italy
Maxence Caqueret,CM;CDM,78,OL,Ligue 1 McDonald's,France
Daniel Podence,LM;ST;CAM;LW,78,Al Shabab,ROSHN Saudi League,Portugal
Trevoh Chalobah,CB;RB,78,Crystal Palace,Premier League,England
Andrea Colpani,CAM;RM,78,Fiorentina,Serie A Enilive,Italy
Murillo,CB,78,Nott'm Forest,Premier League,Brazil
Vladimír Coufal,RB,78,West Ham,Premier League,Czech Republic
Kerem Demirbay,CM;CDM;CAM,78,Galatasaray,Trendyol Süper Lig,Germany
Kiernan Dewsbury-Hall,CM;CAM;CDM,78,Chelsea,Premier League,England
Dénes Dibusz,GK,78,Ferencvárosi TC,Magyar Liga,Hungary
Ousmane Diomande,CB,78,Sporting CP,Liga Portugal,Côte d'Ivoire
Berat Djimsiti,CB,78,Bergamo Calcio,Serie A Enilive,Albania
Marko Dmitrović,GK,78,CD Leganés,LALIGA EA SPORTS,Serbia
Ritsu Doan,RM;CAM;ST;RW,78,SC Freiburg,Bundesliga,Japan
Danilho Doekhi,CB,78,Union Berlin,Bundesliga,Holland
Oscar Dorley,CDM;CM,78,Slavia Praha,Česká Liga,Liberia
Oscar,CAM;CM;LW,78,Shanghai Port FC,CSL,Brazil
Ayoub El Kaabi,ST;RM,78,Olympiacos FC,Hellas Liga,Morocco
Aschraf El Mahdioui,CDM;CM,78,Al Taawoun,ROSHN Saudi League,Holland
Harvey Elliott,CAM;CM;RW,78,Liverpool,Premier League,England
Christian Eriksen,CM;CDM,78,Man Utd,Premier League,Denmark
Alfonso Espino,LB,78,Rayo Vallecano,LALIGA EA SPORTS,Uruguay
Lucas Perri,GK,78,OL,Ligue 1 McDonald's,Brazil
Francisco Conceição,RM;RW,78,Juventus,Serie A Enilive,Portugal
Wesley Fofana,CB,78,Chelsea,Premier League,France
Przemysław Frankowski,RB;LB;RM,78,RC Lens,Ligue 1 McDonald's,Poland
Levi García,ST,78,AEK Athens,Hellas Liga,Trinidad and Tobago
Eric García,CB;CDM;RB,78,FC Barcelona,LALIGA EA SPORTS,Spain
Rubén García,RM;LM;RW,78,CA Osasuna,LALIGA EA SPORTS,Spain
Fran García,LB,78,Real Madrid,LALIGA EA SPORTS,Spain
Federico Gatti,CB,78,Juventus,Serie A Enilive,Italy
Ryan Gauld,LW;ST;RW;LM,78,Whitecaps FC,MLS,Scotland
João Gomes,CDM;CM,78,Wolves,Premier League,Brazil
Campaña,CM;LM,78,UD Las Palmas,LALIGA EA SPORTS,Spain
Ismaily,LB,78,LOSC Lille,Ligue 1 McDonald's,Brazil
Amine Gouiri,LM;ST;LW,78,Stade Rennais FC,Ligue 1 McDonald's,Algeria
Jonathan Gradit,CB,78,RC Lens,Ligue 1 McDonald's,France
Ryan Gravenberch,CM;CDM,78,Liverpool,Premier League,Holland
Michael Gregoritsch,ST,78,SC Freiburg,Bundesliga,Austria
Guaita,GK,78,RC Celta,LALIGA EA SPORTS,Spain
Arda Güler,CAM;RM,78,Real Madrid,LALIGA EA SPORTS,Turkey
Christian Günter,LB;LM,78,SC Freiburg,Bundesliga,Germany
Abderrazak Hamdallah,ST;CAM,78,Al Shabab,ROSHN Saudi League,Morocco
Lukáš Haraslín,LW;RW;LM,78,Sparta Praha,Česká Liga,Slovakia
Cucho Hernández,ST,78,Columbus Crew,MLS,Colombia
Héctor Herrera,CM;CDM,78,Houston Dynamo,MLS,Mexico
Ander Herrera,CM;CDM,78,Athletic Club,LALIGA EA SPORTS,Spain
Sergio Herrera,GK,78,CA Osasuna,LALIGA EA SPORTS,Spain
Isak Hien,CB,78,Bergamo Calcio,Serie A Enilive,Sweden
Andreas Pereira,CAM;CM,78,Fulham,Premier League,Brazil
Rasmus Højlund,ST,78,Man Utd,Premier League,Denmark
Hwang Hee Chan,ST;LW;RW,78,Wolves,Premier League,Korea Republic
Borja Iglesias,ST,78,RC Celta,LALIGA EA SPORTS,Spain
Lorenzo Insigne,LW;CAM;LM,78,Toronto FC,MLS,Italy
Junya Ito,RM;RW;ST,78,Stade de Reims,Ligue 1 McDonald's,Japan
Juanmi,LM;ST;CAM;LW,78,Real Betis,LALIGA EA SPORTS,Spain
Brennan Johnson,RM;ST;RW,78,Spurs,Premier League,Wales
Sam Johnstone,GK,78,Wolves,Premier League,England
Joan Jordán,CM;CDM,78,D. Alavés,LALIGA EA SPORTS,Spain
Pierre Kalulu,CB;RB,78,Juventus,Serie A Enilive,France
Kevin Kampl,CM;CDM,78,RB Leipzig,Bundesliga,Slovenia
Rick Karsdorp,RB;RM,78,PSV,Eredivisie,Holland
Moise Kean,ST,78,Fiorentina,Serie A Enilive,Italy
Kodjo Fo-Doh Laba,ST,78,Al Ain FC,United Emirates League,Togo
Gaëtan Laborde,RW;ST;RM,78,OGC Nice,Ligue 1 McDonald's,France
Armand Laurienté,LW;LM,78,Sassuolo,Serie BKT,France
Victor Lindelöf,CB;LB,78,Man Utd,Premier League,Sweden
Tino Livramento,RB;LB,78,Newcastle Utd,Premier League,England
Hirving Lozano,RW;LW;RM,78,PSV,Eredivisie,Mexico
Matheus Nunes,CM;LM,78,Manchester City,Premier League,Portugal
Noni Madueke,RM;RW,78,Chelsea,Premier League,England
Joakim Mæhle,RB;LB;RM,78,VfL Wolfsburg,Bundesliga,Denmark
Lovro Majer,CM;CAM,78,VfL Wolfsburg,Bundesliga,Croatia
Nemanja Maksimović,CM;CDM,78,Panathinaikos,Hellas Liga,Serbia
Steve Mandanda,GK,78,Stade Rennais FC,Ligue 1 McDonald's,France
Solly March,RM;LM;RW,78,Brighton,Premier League,England
Konstantinos Mavropanos,CB,78,West Ham,Premier League,Greece
Weston McKennie,CM;CDM,78,Juventus,Serie A Enilive,United States
Scott McTominay,CDM;CM,78,SSC Napoli,Serie A Enilive,Scotland
Ben Mee,CB,78,Brentford,Premier League,England
Arthur Cabral,ST,78,SL Benfica,Liga Portugal,Brazil
Simon Mignolet,GK,78,Club Brugge,1A Pro League,Belgium
Moncayola,CM;CDM;RB,78,CA Osasuna,LALIGA EA SPORTS,Spain
Mason Mount,CM;CAM,78,Man Utd,Premier League,England
Neto,GK,78,Arsenal,Premier League,Brazil
Luis Muriel,ST,78,Orlando City,MLS,Colombia
Rodrigo Becão,CB,78,Fenerbahçe,Trendyol Süper Lig,Brazil
Marcão,CB,78,Sevilla FC,LALIGA EA SPORTS,Brazil
Wilfred Ndidi,CDM;CM,78,Leicester City,Premier League,Nigeria
Victor Nelsson,CB,78,Galatasaray,Trendyol Süper Lig,Denmark
Saúl,CM;LM,78,Sevilla FC,LALIGA EA SPORTS,Spain
M'Bala Nzola,ST,78,RC Lens,Ligue 1 McDonald's,Angola
Noah Okafor,ST;LW;CAM,78,Milano FC,Serie A Enilive,Switzerland
Caio Henrique,LB;LM,78,AS Monaco,Ligue 1 McDonald's,Brazil
Amadou Onana,CDM;CM,78,Aston Villa,Premier League,Belgium
Alex Oxlade-Chamberlain,CM;CAM,78,Beşiktaş,Trendyol Süper Lig,England
Willian Pacho,CB,78,Paris SG,Ligue 1 McDonald's,Ecuador
Emerson,LB,78,West Ham,Premier League,Italy
Leandro Paredes,CM;CDM,78,AS Roma,Serie A Enilive,Argentina
Pedraza,LB,78,Villarreal CF,LALIGA EA SPORTS,Spain
Nicolas Pépé,RM;RW;ST,78,Villarreal CF,LALIGA EA SPORTS,Côte d'Ivoire
